file_id,species,processed_path,spectrogram_path,preview_path,duration_sec,sample_rate
dlg_ggpd_n200-g2-m1-2013-c3-track-75,spring_peeper,data\processed\spring_peeper\dlg_ggpd_n200-g2-m1-2013-c3-track-75.wav,data\spectrograms\spring_peeper\dlg_ggpd_n200-g2-m1-2013-c3-track-75.npy,data\spectrograms\preview\spring_peeper\dlg_ggpd_n200-g2-m1-2013-c3-track-75.png,10.0,22050
mixkit-forest-with-birds-singing-1235,not_frogs,data\processed\not_frogs\mixkit-forest-with-birds-singing-1235.wav,data\spectrograms\not_frogs\mixkit-forest-with-birds-singing-1235.npy,data\spectrograms\preview\not_frogs\mixkit-forest-with-birds-singing-1235.png,10.0,22050
ML183625,american_toad,data\processed\american_toad\ML183625.wav,data\spectrograms\american_toad\ML183625.npy,data\spectrograms\preview\american_toad\ML183625.png,10.0,22050
ML209151,american_toad,data\processed\american_toad\ML209151.wav,data\spectrograms\american_toad\ML209151.npy,data\spectrograms\preview\american_toad\ML209151.png,10.0,22050
ML633952175,spring_peeper,data\processed\spring_peeper\ML633952175.wav,data\spectrograms\spring_peeper\ML633952175.npy,data\spectrograms\preview\spring_peeper\ML633952175.png,10.0,22050
mixkit-sea-waves-with-birds-loop-1185,not_frogs,data\processed\not_frogs\mixkit-sea-waves-with-birds-loop-1185.wav,data\spectrograms\not_frogs\mixkit-sea-waves-with-birds-loop-1185.npy,data\spectrograms\preview\not_frogs\mixkit-sea-waves-with-birds-loop-1185.png,10.0,22050
ML199792,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199792.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199792.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199792.png,10.0,22050
ML207938,green_tree_frog,data\processed\green_tree_frog\ML207938.wav,data\spectrograms\green_tree_frog\ML207938.npy,data\spectrograms\preview\green_tree_frog\ML207938.png,10.0,22050
ML105277,northern_cricket_frog,data\processed\northern_cricket_frog\ML105277.wav,data\spectrograms\northern_cricket_frog\ML105277.npy,data\spectrograms\preview\northern_cricket_frog\ML105277.png,10.0,22050
ML199781,eastern_narrow_mouthed_toad,data\processed\eastern_narrow_mouthed_toad\ML199781.wav,data\spectrograms\eastern_narrow_mouthed_toad\ML199781.npy,data\spectrograms\preview\eastern_narrow_mouthed_toad\ML199781.png,10.0,22050
mixkit-forest-birds-singing-1212,not_frogs,data\processed\not_frogs\mixkit-forest-birds-singing-1212.wav,data\spectrograms\not_frogs\mixkit-forest-birds-singing-1212.npy,data\spectrograms\preview\not_frogs\mixkit-forest-birds-singing-1212.png,10.0,22050
